"table_name","column_name","data_type","is_nullable","column_default"
"companies","id","bigint","NO",""
"companies","created_at","timestamp with time zone","NO","now()"
"companies","company_name","text","YES",""
"issues","id","bigint","NO",""
"issues","created_at","timestamp with time zone","NO","now()"
"issues","issue","text","YES",""
"negative_review","id","bigint","NO",""
"negative_review","created_at","timestamp with time zone","NO","now()"
"negative_review","company_id","bigint","YES",""
"negative_review","address","text","YES",""
"negative_review","date_of_report","date","YES",""
"negative_review","employee_status","boolean","YES",""
"negative_review","accessability_issue","smallint","YES",""
"negative_review","describe","text","YES",""
"negative_review","improvement_suggestions","text","YES",""
"negative_review","other_issue","text","YES",""
"negative_review","anon","boolean","YES",""
"positive_review","id","bigint","NO",""
"positive_review","created_at","timestamp with time zone","NO","now()"
"positive_review","company_id","bigint","YES",""
"positive_review","address","text","YES",""
"positive_review","date_of_incident","date","YES",""
"positive_review","employee_status","boolean","YES",""
"positive_review","recommend","boolean","YES",""
"positive_review","diverse_environment","boolean","YES",""
"positive_review","description","text","YES",""
"profile","id","bigint","NO",""
"profile","created_at","timestamp with time zone","NO","now()"
"profile","badge_number","text","YES",""
"profile","last_name","text","YES",""
"profile","other_names","text","YES",""
"profile","passport_number","text","YES",""
"profile","date_of_birth","date","YES",""
"profile","user_id","uuid","YES",""